dcterms_extent,dcterms_type,fedora_createdBy,dc_subject,fedora_writable,ldp_contains,dcterms_isPartOf,dc_description,dc_format,dc_publisher,dc_summary,fedora_created,dc_language,fedora_lastModifiedBy,dc_type,dcterms_issued,fedora_hasParent,dc_title,fedora_lastModified,dc_rights,files,dc_identifer,dc_creator,dc_contributor
Book cover,Text|StillImage,fedoraAdmin,Plants|Survival|Botanists,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/41/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/41/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Red Hen Press,The environment is dying and the plants have chosen you to save them. You're going to make a difference ... but at what cost?,2023-06-05T16:45:50.678000+00:00,eng,fedoraAdmin,Science fiction|Ecofiction|book jackets,[2017],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Kinship of clover : a novel,2023-06-05T16:45:50.678000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/41/pages/page_0/files/Scifi2021Meeropolkinship.jpg,5969701,"Meeropol, Ellen,",
Book cover,Text|StillImage,fedoraAdmin,Ecology|Revolutions|Dictatorship,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/31/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/31/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Tor,"A revolution has taken over the government of the United States and the environment has been saved. All pollution has been banned and reversed. It's a bright, green new world. But this new world comes with a great cost. The United States is ruled by a dictatorship and the corporations are fighting back. Joining them are an increasing number of rebels angered by the dictatorship of Chairman Rahma. The Chairman's power is absolute and appears strong, but in The Little Green Book of Chairman Rahma by Brian Herbert, cracks are beginning to show as new weapons are developed by the old corporate powers, foreign alliances begin to make inroads into America's influence. and strange reports of mutants filter through the government's censorship.",2023-06-05T16:42:42.147000+00:00,eng,fedoraAdmin,Ecofiction|book jackets|Dystopian fiction|Science fiction,[2014],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,The little green book of Chairman Rahma,2023-06-05T16:42:42.147000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/31/pages/page_0/files/Scifi2021HerbertThe.jpg,5969626,"Herbert, Brian",
Book cover,Text|StillImage,fedoraAdmin,Thailand--Bangkok|Thailand,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/95/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/95/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the First Riverhead Trade paperback edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Riverhead Books,"A nineteenth-century missionary doctor in Bangkok pines for the comforts of New England even as he finds the vibrant foreign chaos of Siam increasingly difficult to resist. A post-war society woman marries, mothers, and holds court, little suspecting the course of her future. A jazz pianist is summoned in the 1970s to conjure music that will pacify resident spirits, even as he's haunted by ghosts of his former life. Not long after, a young woman gives swimming lessons in the luxury condos that have eclipsed the old house, trying to outpace the long shadow of her political past. And in the post-submergence Bangkok of the future, a band of savvy teenagers guides tourists and former residents past waterlogged, ruined landmarks, selling them tissues to wipe their tears for places they themselves do not remember. Time collapses as these stories collide and converge, linked by blood, memory, yearning, chance, and the forces voraciously making and remaking the amphibian, ever-morphing city itself.",2023-06-05T17:03:12.865000+00:00,eng,fedoraAdmin,book jackets|Historical fiction,2020,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Bangkok wakes to rain : a novel,2023-06-05T17:03:12.865000+00:00,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/95/pages/page_0/files/Scifi2021SudbanthadBangkok.jpg,on1124897622,"Sudbanthad, Pitchaya",
Book cover,Text|StillImage,fedoraAdmin,Space colonies|Pollution|Interplanetary voyages|Time travel|Life on other planets,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/54/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/54/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the First U.S. edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Harcourt,"After rendering the planet unlivable, humankind begins to colonize a new blue planet, and heroine Billie Crusoe embarks on a personal odyssey into the future, in an adventure that explores humankind's relationship to the environment, power, and technology.",2023-06-05T16:49:58.064000+00:00,eng,fedoraAdmin,Ecofiction|book jackets|Science fiction|Psychological fiction|Romance fiction,[2007],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,The stone gods,2023-06-05T16:49:58.064000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/54/pages/page_0/files/Scifi2021WintersonThe.jpg,2993231,"Winterson, Jeanette, 1959-",
Book cover,Text|StillImage,fedoraAdmin,Survival|Pennsylvania--Lancaster County|Disasters|Regression (Civilization)|Solar activity|Amish,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/49/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/49/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Algonquin Books of Chapel Hill,"An Amish community in Pennsylvania is caught up in the devastating aftermath of a catastrophic solar storm and the subsequent collapse of modern civilization as the Englishers in the nearby cities begin to invade their farms. Jacob's Amish community in Pennsylvania is caught up in the violence, but defense is hindered by their beliefs. In protecting his family, will Jacob defy his beliefs and take up arms? His diary details his conflicts, both physical and internal.",2023-06-05T16:48:23.120000+00:00,eng,fedoraAdmin,Diary fiction|Apocalyptic fiction|Ecofiction|book jackets,2017,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,When the English fall : a novel,2023-06-05T16:48:23.120000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/49/pages/page_0/files/Scifi2021WilliamsWhen.jpg,5526148,"Williams, David (David Gerald), 1969-",
Book cover,Text|StillImage,fedoraAdmin,Virus diseases|Louisiana--New Orleans,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/39/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/39/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the  held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,G.P. Putnam's Sons,"""Set in a futuristic, hostile Orleans landscape, Fen de la Guerre must deliver her tribe leader's baby over the Wall into the Outer States before her blood becomes tainted with Delta Fever""--Provided by publisher.",2023-06-05T16:45:13.979000+00:00,eng,fedoraAdmin,book jackets|Science fiction,[2013],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Orleans,2023-06-05T16:45:13.979000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/39/pages/page_0/files/Scifi2021SmithOrleans.jpg,4446364,"Smith, Sherri L.",
Book cover,StillImage|Text,fedoraAdmin,Families|Pollution|Missing persons|Islands,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/33/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/33/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the First United States edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Pantheon,"In this English-language debut of a Taiwanese author,  the lives of two people from very different worlds intertwine under the shadow of a man-made catastrophe. On the mythical island of Wayo-Wayo, young Atile'i has just seen his 180th full moon and, following the tradition of his people, is sent out alone into the vast Pacific as a sacrifice to the Sea God. Just when it seems that all hope is lost, he happens upon a new home--a vast island made of trash. Meanwhile, in Taiwan, Alice, a professor of literature, is preparing to commit suicide following the disappearance of her husband and son. But her plans are put on hold when the trash island collides with the Taiwan coast where Alice lives. Her home is destroyed, but meeting Atile'i gives her life new meaning as they set out to solve the mystery of her lost family.",2023-06-05T16:43:20.152000+00:00,eng,fedoraAdmin,Ecofiction|book jackets|Dystopian fiction|Science fiction,[2014],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,The man with the compound eyes,2023-06-05T16:43:20.152000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/33/pages/page_0/files/Scifi2021Ming-YiThe.jpg,4752691,"Wu, Ming-Yi, 1971-",
Book cover,StillImage|Text,fedoraAdmin,Dystopias|Young women|Civil war|United States--Louisiana,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/92/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/92/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Alfred A. Knopf,"In this debut novel featuring  a second American Civil War, a devastating plague, and one family caught deep in the middle, the story  asks what might happen if America were to turn its most devastating policies and deadly weapons upon itself. Sarat Chestnut, born in Louisiana, is only six when the Second American Civil War breaks out in 2074. But even she knows that oil is outlawed, that Louisiana is half underwater, and that unmanned drones fill the sky. When her father is killed and her family is forced into Camp Patience for displaced persons, she begins to grow up shaped by her particular time and place. But not everyone at Camp Patience is who they claim to be. Eventually Sarat is befriended by a mysterious functionary, under whose influence she is turned into a deadly instrument of war. The decisions that she makes will have tremendous consequences not just for Sarat but for her family and her country, rippling through generations of strangers and kin alike.",2023-06-05T18:50:57.999000+00:00,eng,fedoraAdmin,book jackets|Dystopian fiction|Science fiction|War fiction,2017,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,American war,2023-06-05T18:50:57.999000+00:00,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/92/pages/page_0/files/Scifi2021ElAkkadAmerican.jpg,5431241,"El Akkad, Omar, 1982-",
Book cover,Text|StillImage,fedoraAdmin,Dystopias|Arctic regions,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/9/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/9/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the First Canadian edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,HarperCollins,"Out on the far northern border of a failed state, Makepeace--sheriff and perhaps the last citizen--patrols the city ruins, salvaging books but keeping the guns in good repair.",2023-06-05T16:33:49.114000+00:00,eng,fedoraAdmin,book jackets|Dystopian fiction|Fantasy fiction,[2009],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Far north,2023-06-05T16:33:49.114000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/9/pages/page_0/files/Scifi2021TherouxFar.jpg,6273266,"Theroux, Marcel, 1968-",
Book cover,Text|StillImage,fedoraAdmin,Diseases|Epidemics|Genetic engineering,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/46/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/46/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Bloomsbury,"A conclusion to the MaddAddam trilogy finds Toby and Ren returning to the MaddAddamite cob house after rescuing Amanda and assuming the duties of the Craker's religious overseers while Zeb searches for the founder of the pacifist green religion he left years earlier.|""Bringing together characters from Oryx and Crake and The Year of the Flood, this thrilling conclusion to Margaret Atwood's speculative fiction trilogy confirms the ultimate endurance of humanity, community, and love. Months after the Waterless Flood pandemic has wiped out most of humanity, Toby and Ren have rescued their friend Amanda from the vicious Painballers. They return to the MaddAddamite cob house, which is being fortified against man and giant Pigoon alike. Accompanying them are the Crakers, the gentle, quasihuman species engineered by the brilliant but deceased Crake. While their reluctant prophet, Jimmy--Crake's one-time friend--recovers from a debilitating fever, it's left to Toby to narrate the Craker theology, with Crake as Creator. She must also deal with cultural misunderstandings, terrible coffee, and her jealousy over her lover, Zeb. Meanwhile, Zeb searches for Adam One, founder of the God's Gardeners, the pacifist green religion from which Zeb broke years ago to lead the MaddAddamites in active resistance against the destructive CorpSeCorps. Now, under threat of an imminent Painballer attack, the MaddAddamites must fight back with the aid of their newfound allies, some of whom have four trotters. At the center is the extraordinary story of Zeb's past, which involves a lost brother, a hidden murder, a bear, and a bizarre act of revenge. Combining adventure, humor, romance, superb storytelling, and an imagination that is at once dazzlingly inventive and grounded in a recognizable world, MaddAddam is vintage Margaret Atwood, and a moving and dramatic conclusion to her internationally celebrated dystopian trilogy.",2023-06-05T16:47:25.726000+00:00,eng,fedoraAdmin,Science fiction|book jackets|Ecofiction,2013,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Maddaddam,2023-06-05T16:47:25.726000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/46/pages/page_0/files/Scifi2021AtwoodMaddAddam.jpg,5851973,"Atwood, Margaret, 1939-",
Book cover,Text|StillImage,fedoraAdmin,Mind and body|Time travel,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/36/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/36/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Tom Doherty Associates,"2080: at a remote site on the edge of the Arctic Circle, a group of scientists, engineers and physicians gather to gamble humanity's future on one last-ditch experiment. Their goal: to make a tiny alteration to the past, averting a global catastrophe while at the same time leaving recorded history intact. To make the experiment work, they just need one last recruit: an ageing schoolteacher whose late mother was the foremost expert on the mathematics of paradox. 2028: a young woman goes into surgery for routine brain surgery. In the days following her operation, she begins to hear another voice in her head ... an unwanted presence which seems to have a will, and a purpose, all of its own -- one that will disrupt her life entirely. The only choice left to her is a simple one. Does she resist ... or become a collaborator?",2023-06-05T16:44:17.194000+00:00,eng,fedoraAdmin,book jackets|Science fiction,2019,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Permafrost,2023-06-05T16:44:17.194000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/36/pages/page_0/files/Scifi2021ReynoldsPermafrost.jpg,5930067,"Reynolds, Alastair, 1966-",
1 poster with colored illustrations and text; 49 x 33 cm,StillImage,fedoraAdmin,United States|Science fiction films|Silent running (Motion picture : 1972),false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/104/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/104/orderProxies,Science Fiction & Fantasy Research Collection,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Universal Pictures,Movie poster of the 1972 movie Silent Running,2023-06-05T16:35:23.368000+00:00,eng,fedoraAdmin,film posters|Posters,1972,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,"""Silent running"" : amazing companions on an incredible adventure ... that journeys beyond imagination!",2023-06-05T16:35:23.368000+00:00,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/104/pages/page_0/files/SilentRunning.jpg,,,
Book cover,Text|StillImage,fedoraAdmin,Missing persons|City and town life|Dystopias|Storms,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/13/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/13/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Night Shade Books,"""Rising high above the frigid waters, the ocean city of Osiris has been cut off from the land since the Great Storm 50 years ago. Most believe that Osiris is the last city on Earth. Adelaide is the black-sheep granddaughter of the city's Architect. A jaded socialite, she wants little to do with her powerful relatives--until her troubled twin brother disappears mysteriously. Vikram, a third-generation storm refugee, sees his own people dying of cold and starvation. He hopes to use Adelaide to bring about much-needed reforms--but who is using whom? As another brutal winter brings Osiris closer to riot and revolution, two very different people attempt to bridge the gap dividing the city, only to find a future far more complicated than either of them ever imagined.""--Amazon.com.",2023-06-05T16:31:16.927000+00:00,eng,fedoraAdmin,Science fiction|book jackets|Ecofiction|Dystopian fiction,[2012],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Osiris,2023-06-05T16:31:16.927000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/13/pages/page_0/files/Scifi2021SwiftOsiris.jpg,5968902,"Swift, E. J. (Emma J.)",
Book cover,StillImage|Text,fedoraAdmin,"End of the world|Dystopias|Teenage boys|Government, Resistance to",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/6/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/6/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Skyscape,"Angry with the oppressive dictates of the Empyrean government, Heartlander and Captain of the Big Sky Scavengers Cael McAvoy discovers a secret, illegal garden and Cael, together with his crew, decides to make his own luck ... a choice that will bring down the wrath of the Empyrean elite and change life in the Heartland forever.",2023-06-05T16:32:51.994000+00:00,eng,fedoraAdmin,book jackets|Dystopian fiction|Science fiction|Fantasy fiction,[2013],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Under the Empyrean sky,2023-06-05T16:32:51.994000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/6/pages/page_0/files/Scifi2021WendigUnder.jpg,5969627,"Wendig, Chuck",
1 poster with colored illustrations and text; 102 x 69 cm,StillImage,fedoraAdmin,Dystopian films|Road (Motion picture : 2009)|United States,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/107/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/107/orderProxies,Science Fiction & Fantasy Research Collection,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,2929 Productions,Movie poster of the 2009 movie The Road,2023-06-05T16:36:19.588000+00:00,eng,fedoraAdmin,Posters|film posters,2009,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,"The Road, November 25 : in a moment, the world changed forever",2023-06-05T16:36:19.588000+00:00,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/107/pages/page_0/files/TheRoad.jpg,,,
